"","sentiment","ranges","date","n","Account_age"
"1","anger","Group B","2020-08-21",1888,5
"2","anticipation","Group B","2020-08-21",2778,5
"3","disgust","Group B","2020-08-21",401,5
"4","fear","Group B","2020-08-21",471,5
"5","joy","Group B","2020-08-21",844,5
"6","negative","Group B","2020-08-21",1626,5
"7","positive","Group B","2020-08-21",3107,5
"8","sadness","Group B","2020-08-21",28,5
"9","surprise","Group B","2020-08-21",187,5
"10","trust","Group B","2020-08-21",625,5
"11","anger","Group C","2020-08-21",2110,6
"12","anticipation","Group C","2020-08-21",3022,6
"13","disgust","Group C","2020-08-21",508,6
"14","fear","Group C","2020-08-21",528,6
"15","joy","Group C","2020-08-21",909,6
"16","negative","Group C","2020-08-21",1836,6
"17","positive","Group C","2020-08-21",3351,6
"18","sadness","Group C","2020-08-21",33,6
"19","surprise","Group C","2020-08-21",223,6
"20","trust","Group C","2020-08-21",622,6
"21","anger","Group A","2020-08-21",7649,0
"22","anticipation","Group A","2020-08-21",11800,0
"23","disgust","Group A","2020-08-21",1961,0
"24","fear","Group A","2020-08-21",1994,0
"25","joy","Group A","2020-08-21",3293,0
"26","negative","Group A","2020-08-21",8192,0
"27","positive","Group A","2020-08-21",11406,0
"28","sadness","Group A","2020-08-21",116,0
"29","surprise","Group A","2020-08-21",736,0
"30","trust","Group A","2020-08-21",2270,0
"31","anger","Group C","2020-08-21",3097,8
"32","anticipation","Group C","2020-08-21",4564,8
"33","disgust","Group C","2020-08-21",683,8
"34","fear","Group C","2020-08-21",819,8
"35","joy","Group C","2020-08-21",1402,8
"36","negative","Group C","2020-08-21",3068,8
"37","positive","Group C","2020-08-21",5215,8
"38","sadness","Group C","2020-08-21",59,8
"39","surprise","Group C","2020-08-21",314,8
"40","trust","Group C","2020-08-21",986,8
"41","anger","Group A","2020-08-21",3481,1
"42","anticipation","Group A","2020-08-21",4822,1
"43","disgust","Group A","2020-08-21",886,1
"44","fear","Group A","2020-08-21",842,1
"45","joy","Group A","2020-08-21",1418,1
"46","negative","Group A","2020-08-21",3201,1
"47","positive","Group A","2020-08-21",5392,1
"48","sadness","Group A","2020-08-21",67,1
"49","surprise","Group A","2020-08-21",312,1
"50","trust","Group A","2020-08-21",1019,1
"51","anger","Group A","2020-08-21",2633,2
"52","anticipation","Group A","2020-08-21",3514,2
"53","disgust","Group A","2020-08-21",614,2
"54","fear","Group A","2020-08-21",613,2
"55","joy","Group A","2020-08-21",1092,2
"56","negative","Group A","2020-08-21",2253,2
"57","positive","Group A","2020-08-21",3833,2
"58","sadness","Group A","2020-08-21",42,2
"59","surprise","Group A","2020-08-21",245,2
"60","trust","Group A","2020-08-21",766,2
"61","anger","Group B","2020-08-21",1994,4
"62","anticipation","Group B","2020-08-21",3126,4
"63","disgust","Group B","2020-08-21",491,4
"64","fear","Group B","2020-08-21",558,4
"65","joy","Group B","2020-08-21",955,4
"66","negative","Group B","2020-08-21",1888,4
"67","positive","Group B","2020-08-21",3345,4
"68","sadness","Group B","2020-08-21",36,4
"69","surprise","Group B","2020-08-21",192,4
"70","trust","Group B","2020-08-21",664,4
"71","anger","Group D","2020-08-21",2149,10
"72","anticipation","Group D","2020-08-21",3166,10
"73","disgust","Group D","2020-08-21",487,10
"74","fear","Group D","2020-08-21",711,10
"75","joy","Group D","2020-08-21",937,10
"76","negative","Group D","2020-08-21",2036,10
"77","positive","Group D","2020-08-21",3803,10
"78","sadness","Group D","2020-08-21",52,10
"79","surprise","Group D","2020-08-21",200,10
"80","trust","Group D","2020-08-21",694,10
"81","anger","Group C","2020-08-21",2609,7
"82","anticipation","Group C","2020-08-21",3810,7
"83","disgust","Group C","2020-08-21",555,7
"84","fear","Group C","2020-08-21",676,7
"85","joy","Group C","2020-08-21",1042,7
"86","negative","Group C","2020-08-21",2434,7
"87","positive","Group C","2020-08-21",4001,7
"88","sadness","Group C","2020-08-21",38,7
"89","surprise","Group C","2020-08-21",267,7
"90","trust","Group C","2020-08-21",770,7
"91","anger","Group D","2020-08-21",2591,11
"92","anticipation","Group D","2020-08-21",3721,11
"93","disgust","Group D","2020-08-21",585,11
"94","fear","Group D","2020-08-21",690,11
"95","joy","Group D","2020-08-21",1259,11
"96","negative","Group D","2020-08-21",2214,11
"97","positive","Group D","2020-08-21",4151,11
"98","sadness","Group D","2020-08-21",55,11
"99","surprise","Group D","2020-08-21",342,11
"100","trust","Group D","2020-08-21",819,11
"101","anger","Group D","2020-08-21",3341,9
"102","anticipation","Group D","2020-08-21",4825,9
"103","disgust","Group D","2020-08-21",716,9
"104","fear","Group D","2020-08-21",952,9
"105","joy","Group D","2020-08-21",1227,9
"106","negative","Group D","2020-08-21",3228,9
"107","positive","Group D","2020-08-21",5622,9
"108","sadness","Group D","2020-08-21",54,9
"109","surprise","Group D","2020-08-21",300,9
"110","trust","Group D","2020-08-21",1009,9
"111","anger","Group B","2020-08-21",2367,3
"112","anticipation","Group B","2020-08-21",3332,3
"113","disgust","Group B","2020-08-21",612,3
"114","fear","Group B","2020-08-21",613,3
"115","joy","Group B","2020-08-21",1053,3
"116","negative","Group B","2020-08-21",1970,3
"117","positive","Group B","2020-08-21",3713,3
"118","sadness","Group B","2020-08-21",33,3
"119","surprise","Group B","2020-08-21",264,3
"120","trust","Group B","2020-08-21",676,3
"121","anger","Group D","2020-08-21",218,12
"122","anticipation","Group D","2020-08-21",323,12
"123","disgust","Group D","2020-08-21",40,12
"124","fear","Group D","2020-08-21",65,12
"125","joy","Group D","2020-08-21",94,12
"126","negative","Group D","2020-08-21",177,12
"127","positive","Group D","2020-08-21",338,12
"128","sadness","Group D","2020-08-21",3,12
"129","surprise","Group D","2020-08-21",33,12
"130","trust","Group D","2020-08-21",70,12
"131","anger","Group D","2020-08-21",49,13
"132","anticipation","Group D","2020-08-21",88,13
"133","disgust","Group D","2020-08-21",7,13
"134","fear","Group D","2020-08-21",12,13
"135","joy","Group D","2020-08-21",25,13
"136","negative","Group D","2020-08-21",45,13
"137","positive","Group D","2020-08-21",90,13
"138","sadness","Group D","2020-08-21",2,13
"139","surprise","Group D","2020-08-21",7,13
"140","trust","Group D","2020-08-21",13,13
"141","negative","Group D","2020-08-21",1,14
